COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","13","0","0","13","1","0","0","1","14"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"ALGERIA","ALG","0","5","0","0","5","0","0","0","0","5"
"ARGENTINA","ARGN","0","17","0","0","17","2","0","0","2","19"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AUSTRALIA","AUS","0","22","2","0","24","2","0","0","2","26"
"AZERBAIJAN","AZER","0","2","0","0","2","0","0","0","0","2"
"BELGIUM","BEL","0","3","0","0","3","0","0","0","0","3"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","0","0","0","0","1"
"Bulgaria","BGR","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","17","0","0","17","3","0","0","3","20"
"CANADA","CA","0","47","0","5","52","1","0","2","3","55"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","3","0","53","56","0","0","34","34","90"
"CHILE","CHLE","0","3","0","0","3","0","0","0","0","3"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","1","1515","1032","3965","6513","2017","2839","10266","15122","21635"
"COLOMBIA","COL","0","1","0","0","1","0","0","0","0","1"
"CZECHOSLOVAKIA","CZCH","0","6","0","0","6","2","0","0","2","8"
"DENMARK","DEN","0","8","0","0","8","2","0","0","2","10"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","5","0","0","5","0","0","0","0","5"
"EUROPEAN SPACE AGENCY","ESA","0","77","6","51","134","13","8","24","45","179"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","1","0","0","1","0","0","0","0","1"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","8","0","8","16","0","0","0","0","16"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","54","0","0","54","0","0","0","0","54"
