OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-075D","CZ-2C R/B","43031","PRC","95.19","35.21","599","457","","0","2017-11-24",""
"2017-075C","YAOGAN-30 F","43030","PRC","96.62","35.00","604","590","","0","2017-11-24",""
"2017-075B","YAOGAN-30 E","43029","PRC","96.62","35.00","604","590","","0","2017-11-24",""
"2017-075A","YAOGAN-30 D","43028","PRC","96.62","35.00","603","590","","0","2017-11-24",""
"1998-067NL","OSIRIS-3U","43027","US","92.59","51.64","405","398","","0","1998-11-20",""
"1998-067NK","TECHEDSAT 6","43026","US","92.57","51.64","402","399","","0","1998-11-20",""
"2017-074D","CZ-6 R/B","43025","PRC","93.87","97.53","533","395","","0","2017-11-21",""
"2017-074C","JILIN-01-06","43024","PRC","95.41","97.54","545","531","","0","2017-11-21",""
"2017-074B","JILIN-01-05","43023","PRC","95.41","97.54","545","532","","0","2017-11-21",""
"2017-074A","JILIN-01-04","43022","PRC","95.42","97.54","546","532","","0","2017-11-21",""
"1998-067NJ","DELLINGR (RBLE)","43021","US","92.62","51.64","405","401","","0","1998-11-20",""
"1998-067NH","ASTERIA","43020","US","92.61","51.64","405","401","","0","1998-11-20",""
"1998-067NG","ECAMSAT","43019","US","92.61","51.64","406","399","","0","1998-11-20",""
"2017-073F","OBJECT F","43018","US","97.44","97.69","819","454","","0","2017-11-18",""
"2017-073E","OBJECT E","43017","US","97.44","97.69","819","454","","0","2017-11-18",""
"2017-073D","OBJECT D","43016","US","97.44","97.69","819","454","","0","2017-11-18",""
"2017-073C","MIRATA","43015","US","97.46","97.69","819","455","","0","2017-11-18",""
"2017-073B","BUCCANEER RMM","43014","AUS","97.51","97.69","819","460","","0","2017-11-18",""
"2017-073A","JPSS 1","43013","US","101.27","98.71","821","817","","0","2017-11-18",""
"2017-072C","CZ-4C R/B","43012","PRC","98.90","98.60","797","615","LARGE","0","2017-11-14",""
"2017-072B","HEAD-1","43011","PRC","100.94","98.65","809","797","MEDIUM","0","2017-11-14",""
"2017-072A","FENGYUN 3D","43010","PRC","101.43","98.65","827","826","LARGE","0","2017-11-14",""
"2017-071A","CYGNUS 0A-8","43006","US","92.65","51.64","407","401","LARGE","0","2017-11-12",""
"2017-070A","MOHAMMED VI-A","43005","MA","97.49","97.96","640","638","LARGE","0","2017-11-08",""
"2017-069D","CZ-3B R/B","43004","PRC","319.43","55.03","18024","178","LARGE","0","2017-11-05",""
"2017-069C","YZ-1 R/B","43003","PRC","804.68","54.67","22399","22160","LARGE","0","2017-11-05",""
"2017-069B","BEIDOU-3 M2","43002","PRC","787.39","55.01","22194","21541","LARGE","0","2017-11-05",""
"2017-069A","BEIDOU-3 M1","43001","PRC","773.23","55.01","21549","21507","LARGE","0","2017-11-05",""
"1970-093D","OPS 5960 DEB","43000","US","1194.78","9.32","36324","25516","SMALL","0","1970-11-06",""
"1974-011C","METEOR 1-16 DEB","42999","CIS","101.76","81.23","871","814","SMALL","0","1974-03-05",""
"2017-068M","FLOCK 3M 2","42998","US","94.83","97.35","522","499","MEDIUM","0","2017-10-31",""
"2017-068L","FLOCK 3M 4","42997","US","94.85","97.36","524","499","MEDIUM","0","2017-10-31",""
"2017-068K","FLOCK 3M 3","42996","US","94.85","97.34","524","499","SMALL","0","2017-10-31",""
"2017-068J","FLOCK 3M 1","42995","US","94.86","97.34","525","499","SMALL","0","2017-10-31",""
"2017-068H","OBJECT H","42994","US","94.87","97.35","526","499","LARGE","0","2017-10-31",""
"2017-068G","OBJECT G","42993","US","94.88","97.35","527","499","MEDIUM","0","2017-10-31",""
"2017-068F","SKYSAT C6","42992","US","94.86","97.35","527","497","MEDIUM","0","2017-10-31",""
